card_id,customer_id,account_id,card_type,credit_limit,issue_date,processed_by_employee_id
131,14402,39150,Amex,2727.15,2024-06-23,1065
132,784,29285,Discover,18400.33,2022-03-26,1181
133,14218,24104,Discover,5813.14,2024-02-16,15
134,7657,8587,Discover,15614.36,2021-08-18,1837
135,4702,19625,Amex,3487.89,2022-12-30,65
136,18992,5426,Amex,9931.82,2023-12-01,1881
137,15586,3247,MasterCard,6163.19,2022-03-14,1863
138,8187,27174,Amex,1276.8,2022-12-02,521
139,30,31661,MasterCard,3433.23,2020-09-01,1368
140,8880,14767,Visa,16790.5,2022-01-29,1153
141,4848,33322,Discover,3340.06,2023-04-01,648
142,9667,18442,Discover,16529.27,2020-12-24,1496
143,7543,13046,Amex,7788.6,2022-10-07,1087
144,1516,29873,Discover,1517.08,2022-05-06,1163
145,4251,15974,Amex,13433.69,2021-03-18,1523
146,533,940,Amex,10502.16,2020-07-23,593
147,12800,30149,MasterCard,11015.68,2023-08-31,392
148,13496,26864,MasterCard,14778.22,2023-04-19,1699
149,82,32592,Discover,17818.08,2022-10-24,419
150,6879,20945,MasterCard,2449.34,2024-04-11,289
151,2491,661,Discover,17530.81,2020-12-03,379
152,10702,8038,Discover,8190.38,2023-12-23,1797
153,15036,24316,Visa,14196.93,2021-12-21,1514
154,6993,22663,MasterCard,19372.22,2024-07-02,231
155,14290,9958,MasterCard,11995.05,2022-01-15,1018
156,1927,2128,Visa,9315.26,2023-02-08,41
157,9764,22832,MasterCard,11479.92,2021-10-13,1052
158,13210,21062,Amex,14217.24,2021-01-29,135
159,2257,30489,Discover,11737.0,2023-03-08,201
160,171,35051,MasterCard,5210.29,2024-04-06,1864
161,19067,30964,Visa,2379.9,2023-08-30,780
162,2402,22231,MasterCard,7411.14,2020-10-02,930
163,2810,25865,Visa,1823.16,2023-08-01,1057
164,15624,21193,Visa,4679.3,2022-05-09,1072
165,6761,3539,Discover,11001.17,2023-04-10,503
166,13427,6239,Discover,5018.2,2021-01-18,407
167,2320,2777,Discover,16802.28,2022-09-27,1598
168,2025,37953,MasterCard,3317.22,2021-06-01,1752
169,8752,13464,MasterCard,12044.67,2024-05-27,805
170,5530,34654,Discover,3134.36,2024-03-09,99
171,16614,27206,MasterCard,17344.93,2021-10-18,684
172,15686,38720,Visa,5202.81,2021-12-05,1896
173,15014,20456,MasterCard,1133.25,2021-11-25,726
174,13873,10447,MasterCard,4010.82,2023-06-23,1571
175,4515,11153,Amex,5937.43,2022-09-25,961
176,4491,9532,Amex,12377.93,2023-09-28,1763
177,12016,14599,Discover,10232.52,2023-11-23,613
178,4667,19512,MasterCard,6139.42,2022-12-03,1967
179,18912,8690,Amex,1903.34,2023-07-15,1486
180,7299,21894,Visa,13258.85,2022-06-28,643
181,19760,37005,Visa,5293.07,2021-08-06,1793
182,15976,12105,Visa,13873.94,2023-07-05,1029
183,14516,23520,Amex,10375.18,2021-10-20,1242
184,4624,37137,Discover,17822.82,2023-03-21,503
185,921,35917,Amex,10548.57,2021-11-30,767
186,18901,20732,Visa,12665.24,2020-12-09,398
187,3129,15943,Amex,1452.67,2023-06-07,871
188,2666,14407,Visa,15650.91,2023-02-14,795
189,19617,34981,Amex,11576.02,2020-08-21,393
190,15468,30461,MasterCard,19057.63,2023-08-01,207
191,649,33753,Visa,7947.7,2022-03-23,1039
192,1418,21863,Discover,19666.67,2023-01-10,1882
193,4330,20749,MasterCard,10096.68,2024-03-04,1578
194,4377,32356,Amex,12587.98,2021-01-29,892
195,6987,6113,Visa,6143.42,2021-03-31,1485
196,3427,13007,Amex,5921.13,2020-07-18,1715
197,1715,35053,Amex,13765.12,2022-10-21,1599
198,3115,14116,Amex,11884.45,2023-02-03,864
199,10247,3589,Visa,6415.8,2022-08-21,743
200,16897,23662,Amex,3375.53,2020-08-19,1265
201,14368,11706,Amex,17976.18,2022-07-05,564
202,10770,35924,Amex,6430.63,2023-12-29,1021
203,2398,18118,MasterCard,7469.73,2021-12-13,96
204,18801,37448,MasterCard,10046.46,2020-12-15,1924
205,13603,10427,MasterCard,15930.58,2023-03-10,1758
206,16001,34933,MasterCard,5232.97,2024-03-01,485
207,12087,29813,Discover,1056.72,2023-03-29,1431
208,15078,19187,MasterCard,16511.84,2022-10-13,231
209,15609,23503,Visa,1482.61,2021-02-15,749
210,6979,20599,Discover,1804.18,2024-05-19,1679
211,12021,27669,Discover,4631.68,2021-03-07,1195
212,14608,34974,Amex,1155.25,2021-04-29,541
213,5275,32201,Visa,18344.31,2023-02-20,1060
214,9609,18980,Visa,10313.49,2023-05-03,525
215,4273,27191,Discover,16887.32,2020-12-22,1184
216,1372,31238,Visa,19667.1,2021-07-17,1863
217,2378,33499,Amex,5404.67,2023-10-03,1723
218,12919,4646,Amex,7800.28,2024-01-27,1267
219,5545,1485,Visa,2011.26,2022-11-09,1110
220,17728,12642,Visa,11033.64,2023-12-19,1820
221,64,22119,Amex,11580.5,2020-11-17,578
222,16951,23153,Visa,4769.34,2024-01-18,682
223,19704,38156,Amex,6979.14,2021-12-02,557
224,5139,4373,Visa,5910.37,2024-04-25,1598
225,12566,20765,Amex,14051.74,2024-06-15,1977
226,18924,27308,Visa,4373.22,2023-02-12,1013
227,9687,4559,Amex,13968.42,2021-04-01,646
228,6084,24540,Discover,1497.91,2024-05-27,796
229,17585,20545,Visa,10686.01,2023-04-28,1052
230,1042,26943,Visa,16525.44,2023-06-06,1644
231,3696,29228,Amex,6045.04,2020-08-07,1580
232,11502,21715,Amex,15762.31,2021-07-31,1364
233,6371,15619,Visa,16231.38,2021-10-10,1822
234,14686,31595,Amex,14435.29,2022-06-27,1982
235,19670,16217,Amex,2831.14,2022-03-17,1355
236,339,13753,Discover,8599.21,2024-04-15,1664
237,18881,25305,Amex,16067.87,2021-11-23,1530
238,4527,2870,MasterCard,7367.83,2024-02-03,1372
239,19879,3601,Visa,19819.02,2020-07-31,1497
240,19826,26083,MasterCard,13292.23,2024-05-05,1255
241,12175,25681,Visa,7109.2,2020-08-01,190
242,5892,38221,Amex,12123.92,2023-10-12,1249
243,2199,27855,Discover,15221.56,2023-01-04,1409
244,14167,33012,Amex,2432.94,2022-09-05,1401
245,16702,17078,Amex,17362.38,2023-02-27,1307
246,9767,28583,Visa,3958.15,2021-08-07,1982
247,17378,4609,MasterCard,15267.51,2020-11-14,633
248,9358,20172,MasterCard,9444.63,2020-09-29,628
249,6804,10677,Amex,16869.65,2024-01-11,973
250,15675,25547,Amex,10368.69,2021-07-16,1769
251,16166,30981,Visa,13620.29,2022-10-16,1283
252,14964,33326,MasterCard,1464.93,2023-09-17,1383
253,17258,22633,Discover,1108.94,2023-05-21,710
254,8173,5593,Visa,1951.47,2023-01-13,1480
255,10321,26558,Discover,13302.11,2020-12-03,1435
256,9965,7206,Discover,11686.18,2024-04-03,649
257,14823,5126,Amex,9409.51,2022-05-17,318
258,16903,22861,Amex,2814.38,2023-07-03,1701
259,14490,13924,MasterCard,6435.47,2022-05-19,1249
260,14491,744,Discover,12682.69,2022-10-07,1843
261,19137,7264,Discover,2078.01,2023-08-05,1258
262,19367,9056,Amex,15450.08,2021-06-05,684
263,19174,37522,Visa,7830.72,2023-08-01,664
264,14450,26449,Visa,18996.93,2024-04-11,1999
265,3331,15141,Visa,13549.1,2022-11-13,1851
266,16019,4740,Amex,16556.97,2024-01-16,1398
267,18977,12971,Discover,9762.03,2021-07-23,1696
268,9026,2739,Amex,19942.62,2021-02-06,1632
269,4681,3940,Discover,6051.23,2020-12-19,1496
270,3357,16169,Amex,12869.65,2022-07-31,1257
271,17042,35176,Discover,5316.48,2022-02-05,1716
272,14267,7387,Amex,11516.63,2024-06-01,1137
273,9444,22516,Amex,6820.48,2021-01-10,1854
274,5557,30325,Amex,19247.33,2023-11-28,1521
275,11444,5660,Discover,12898.03,2020-08-11,442
276,528,14887,Discover,7039.46,2023-05-07,564
277,8890,17664,Visa,18946.01,2021-07-30,1292
278,2266,24890,Discover,18521.15,2024-04-28,1534
279,18159,29792,Discover,2047.85,2022-01-06,1831
280,19712,22345,Visa,2589.13,2024-02-02,1410
281,13023,29530,Visa,14491.14,2022-11-11,1411
282,342,97,Amex,11729.72,2022-11-06,1137
283,13097,7484,Discover,4850.94,2024-01-29,1637
284,19569,11865,Visa,11057.68,2024-03-21,1649
285,11636,35528,Visa,8166.59,2021-11-17,952
286,11315,13834,Visa,9697.97,2020-10-01,1105
287,7382,26957,Amex,18082.06,2024-03-29,699
288,1743,6618,Amex,17715.3,2024-01-20,113
289,12854,29266,Amex,12193.35,2020-11-28,2
290,10637,39836,MasterCard,2067.72,2021-01-31,642
291,15413,33152,MasterCard,18224.44,2023-01-14,220
292,3792,20584,Discover,18348.67,2022-02-07,1590
293,10348,767,MasterCard,18671.71,2022-03-28,855
294,16182,22558,MasterCard,18072.2,2021-02-01,1760
295,9124,13639,Discover,13736.24,2021-11-10,1249
296,9511,15534,Visa,3211.24,2021-01-13,385
297,12662,1042,MasterCard,5481.24,2021-01-19,1427
298,9142,19808,Amex,6520.45,2022-10-05,1662
299,2417,27822,MasterCard,17952.57,2023-05-24,1154
300,10959,21048,Visa,7303.22,2024-01-15,1077
301,1185,967,MasterCard,8325.39,2023-03-13,1708
302,6462,29951,Discover,15294.88,2021-10-09,730
303,17520,5533,MasterCard,17817.78,2020-09-13,1696
304,159,22710,Discover,6782.69,2021-11-30,1734
305,14451,30947,Discover,6014.28,2021-01-03,1440
306,12996,33213,MasterCard,14964.19,2024-05-03,247
307,16122,5572,Amex,7596.13,2023-03-01,836
308,17583,2261,Amex,2877.58,2022-01-16,1463
309,10565,7612,Visa,3694.84,2022-03-02,203
310,18872,31462,Discover,3267.31,2021-05-11,1208
311,12849,29852,Amex,11804.42,2023-04-18,123
312,18080,20756,MasterCard,8771.24,2023-06-19,401
313,4004,4358,Discover,16866.26,2024-03-30,767
314,5179,37026,MasterCard,18444.35,2023-10-13,294
315,993,16659,Discover,3661.76,2023-12-26,280
316,8204,4917,Amex,6685.02,2024-07-01,1861
317,2232,16102,MasterCard,13999.57,2022-07-07,884
318,16760,26200,MasterCard,16926.68,2021-05-11,1634
319,5273,10751,Amex,4684.06,2020-08-18,198
320,8592,8218,Amex,19492.53,2022-10-25,982
321,1580,29725,Amex,3922.06,2022-05-15,1931
322,3261,20123,Amex,2730.65,2022-07-17,1535
323,10893,13978,Amex,6029.67,2024-06-23,752
324,8495,27808,Amex,5865.28,2021-01-19,144
325,1032,20637,Discover,16780.94,2023-01-04,609
326,18876,4177,Discover,6739.41,2023-02-08,1225
327,2952,37777,Visa,10177.37,2021-09-12,1148
328,10446,38199,Visa,13340.62,2020-08-28,187
329,1197,4763,Visa,19170.01,2022-06-13,1350
330,13595,11276,Amex,12861.86,2023-10-23,464
331,2888,4976,Amex,11641.75,2021-11-09,1373
332,12759,33157,Visa,2838.1,2022-07-12,1795
333,18769,36248,Amex,18150.48,2023-11-18,660
334,1419,18421,Visa,12510.09,2022-02-28,764
335,1943,12449,Discover,4965.41,2023-02-03,955
336,421,38857,MasterCard,7694.34,2021-07-09,1956
337,2943,4642,Discover,18869.02,2023-04-01,403
338,1014,5455,Visa,19770.57,2023-05-06,1370
339,15641,9526,Amex,16896.38,2022-05-22,1987
340,18044,15575,Visa,19642.33,2020-07-29,1535
341,1812,21012,MasterCard,3718.67,2021-01-22,147
342,18878,32858,MasterCard,15354.18,2023-10-24,1172
343,3840,15064,Amex,6399.09,2020-09-20,864
344,17846,16534,Amex,2744.34,2022-03-16,1735
345,8865,23629,Discover,10456.92,2024-05-12,1844
346,15801,915,MasterCard,16219.93,2022-05-20,489
347,12693,7981,MasterCard,18366.49,2022-10-22,929
348,3132,1064,MasterCard,16093.44,2024-01-26,1960
349,18679,14647,Amex,3118.16,2020-11-25,1664
350,4278,35706,Visa,4955.74,2022-11-14,551
351,2837,8127,Discover,19945.04,2020-12-04,338
352,14456,32825,MasterCard,15701.63,2021-11-27,872
353,10101,19477,Discover,17779.02,2021-07-13,641
354,16866,36167,Discover,2917.16,2021-12-28,1803
355,4850,24613,Discover,11792.04,2022-08-27,1977
356,9952,157,Amex,17682.8,2021-10-06,473
357,2131,35717,Discover,17761.84,2021-11-18,1970
358,18036,26863,Amex,16433.39,2020-08-22,151
359,16212,24101,Amex,9424.93,2023-08-07,1439
360,6067,29501,Visa,16491.88,2021-12-13,1322
361,4565,15118,Amex,17789.37,2020-12-31,1635
362,11199,2602,Amex,13612.18,2020-12-19,263
363,16023,37936,Amex,11315.77,2023-10-11,1788
364,276,35694,MasterCard,7674.56,2023-02-28,144
365,7105,15476,Amex,18883.4,2021-03-01,346
366,5775,30456,Discover,2910.52,2023-09-12,624
367,9204,5835,Discover,2398.88,2021-03-19,1017
368,19048,34688,Amex,4182.93,2023-01-19,1596
369,17976,34591,Visa,8283.57,2020-10-30,881
370,13154,7764,Visa,14317.85,2020-09-23,2
371,476,31934,Visa,13382.66,2021-09-15,897
372,15972,31019,Discover,13035.69,2022-10-04,1328
373,15058,37592,Amex,12296.13,2022-10-03,254
374,3470,25057,Amex,3913.29,2024-04-29,1676
375,10369,15641,MasterCard,7078.02,2023-04-09,453
376,5607,36788,Visa,1853.18,2021-02-04,1061
377,460,27049,Discover,4463.95,2021-01-28,1184
378,12377,27383,Amex,13143.96,2021-05-25,1015
379,2163,317,Visa,4129.19,2023-10-23,9
380,2342,507,MasterCard,7162.78,2021-06-25,1257
381,5719,10552,MasterCard,8966.07,2021-11-02,1123
382,6685,31487,Discover,17841.46,2022-05-17,1683
383,17520,6672,MasterCard,3375.05,2021-04-24,816
384,12939,1408,Visa,15301.23,2020-11-13,208
385,17265,37116,Amex,12599.36,2020-12-03,1155
386,5485,28059,Discover,10244.62,2023-07-21,404
387,9294,17521,MasterCard,13002.45,2022-08-12,152
388,15975,12559,Amex,10579.08,2023-07-02,54
389,5456,35244,Visa,4935.28,2021-01-24,1144
390,8780,39458,Visa,1258.26,2021-12-09,1697
391,15973,340,MasterCard,18306.35,2022-03-15,1944
392,2265,33568,Visa,10031.52,2022-09-09,628
393,4537,13120,Amex,19671.9,2023-07-10,587
394,17650,39668,Visa,19665.99,2022-07-06,1649
395,10516,24330,Amex,8408.21,2020-10-18,1992
396,13996,39119,Visa,8832.19,2023-05-09,1444
397,15097,24988,Visa,8185.16,2024-05-06,1446
398,1639,27105,Discover,7269.86,2020-11-06,104
399,1908,11089,Discover,13729.84,2021-04-28,1876
400,115,24168,Discover,2777.88,2023-01-05,254
401,1226,14789,Amex,10295.02,2022-06-29,1251
402,18357,4502,Amex,16547.53,2023-02-12,1136
403,4120,28569,Amex,5321.27,2021-01-14,510
404,1444,129,Visa,18084.17,2023-11-10,1497
405,10915,33744,Amex,4950.03,2021-05-26,99
406,12149,6526,Amex,15963.69,2022-12-03,153
407,12185,24801,Visa,13373.83,2024-02-23,1885
408,13420,29220,Discover,10346.64,2020-07-03,914
409,9927,18612,MasterCard,5226.33,2024-05-29,1920
410,1219,23132,Visa,17969.61,2021-05-30,878
411,19858,11137,MasterCard,16242.55,2024-02-27,338
412,2626,16430,MasterCard,11980.55,2021-04-20,1730
413,12567,432,MasterCard,9682.75,2023-01-13,822
414,8429,14243,Discover,19466.9,2020-10-27,1187
415,572,15253,Discover,7518.42,2021-09-09,1744
416,6603,13365,MasterCard,9182.68,2021-08-30,957
417,10477,36444,Amex,17860.8,2021-02-20,1705
418,5941,32521,MasterCard,16614.16,2021-02-12,161
419,5589,13004,MasterCard,12810.02,2022-03-20,1604
420,6169,5519,Visa,7980.32,2021-01-19,801
421,18804,7274,Discover,6063.02,2020-12-05,398
422,8539,23166,MasterCard,11193.24,2022-10-05,1301
423,5905,24925,MasterCard,13994.95,2024-05-17,816
424,6720,6221,Discover,12314.07,2021-08-01,1940
425,14748,32738,Amex,1857.31,2021-10-24,1528
426,13407,18608,MasterCard,1195.0,2023-05-12,1920
427,5721,19830,Discover,14472.95,2023-10-22,1416
428,17914,34782,Amex,15406.19,2022-06-28,1159
429,9753,34702,Amex,16269.46,2020-10-19,1219
430,16312,22602,Visa,9006.55,2021-04-12,401
431,11320,4433,Discover,12765.34,2023-03-05,640
432,1741,34798,MasterCard,18351.67,2023-08-04,1057
433,6738,31521,MasterCard,16483.26,2024-06-28,688
434,143,15763,Amex,19084.75,2022-01-10,460
435,12237,32114,Discover,5206.74,2022-08-05,955
436,6926,40000,Visa,7247.64,2021-10-21,1907
437,9364,34164,MasterCard,14858.72,2022-12-22,470
438,19245,29844,MasterCard,8490.95,2022-07-23,1399
439,11327,13412,Amex,12938.69,2022-07-06,1046
440,3195,30053,Amex,4396.99,2023-12-28,750
441,6569,25288,Visa,16865.51,2021-01-12,1694
442,15305,5730,Visa,15599.56,2020-09-01,38
443,15974,36040,MasterCard,17260.86,2023-09-23,230
444,2938,9534,Visa,18452.86,2021-12-09,1389
445,1003,15722,Discover,12406.77,2024-04-24,563
446,8011,23629,Amex,3108.76,2024-01-15,438
447,6597,8910,Amex,19775.78,2022-03-14,1800
448,2188,4827,MasterCard,12753.44,2024-02-01,1307
449,1032,1391,Discover,6508.29,2023-04-02,27
450,9978,36037,Discover,11923.53,2022-10-13,226
451,5041,19274,MasterCard,8946.57,2022-08-30,1301
452,5493,4261,Discover,10148.1,2022-07-08,798
453,7956,6280,MasterCard,16534.19,2022-09-05,1633
454,8372,6449,Amex,12861.93,2023-04-15,284
455,17744,23073,MasterCard,1416.92,2023-12-06,879
456,16727,5877,MasterCard,9954.24,2022-01-25,960
457,8021,36182,Amex,2848.47,2022-05-23,1505
458,330,25171,MasterCard,12139.54,2022-12-22,453
459,11853,37394,MasterCard,3125.61,2024-04-07,1020
460,10801,24723,MasterCard,8920.4,2022-05-02,1853
461,7285,10428,MasterCard,13911.54,2021-08-29,816
462,9044,28282,MasterCard,7865.64,2022-09-18,659
463,2348,11138,Visa,11543.73,2021-12-16,1540
464,6467,29713,Visa,6860.86,2022-03-26,547
465,5615,34376,Visa,5543.06,2023-04-15,1216
466,4993,37183,MasterCard,2848.65,2022-06-30,1073
467,3275,6999,Amex,3981.23,2022-03-05,1536
468,1286,7427,Visa,1626.21,2020-08-07,17
469,7599,39181,MasterCard,1667.19,2023-05-30,1196
470,1227,1422,Amex,10240.73,2023-07-12,1244
471,3177,1031,Amex,19106.77,2020-09-04,158
472,215,2631,MasterCard,5650.71,2022-06-05,477
473,7959,18353,Discover,3288.3,2021-10-24,1070
474,2955,8058,Amex,8993.77,2020-09-07,1397
475,971,31647,Discover,3984.49,2024-01-30,518
476,16498,35255,Discover,15036.99,2022-03-16,99
477,7575,38687,Amex,5337.03,2023-02-11,1916
478,3252,11366,Discover,10948.76,2024-03-22,1769
479,18915,3999,MasterCard,7635.62,2020-07-06,1061
480,1718,10357,Visa,8245.86,2022-12-01,280
481,5882,12171,MasterCard,18722.66,2021-10-24,1373
482,10349,22701,Discover,18161.0,2023-09-07,497
483,998,935,Visa,1184.82,2021-03-08,302
484,16572,2997,Amex,7153.42,2022-02-08,181
485,818,25687,Amex,2116.21,2022-03-19,607
486,7628,5095,Amex,12717.82,2024-03-29,1123
487,111,12163,Amex,10623.05,2021-06-15,700
488,19055,4088,Discover,6107.28,2020-10-21,993
489,8590,11745,MasterCard,13714.91,2023-01-10,1140
490,1271,27423,MasterCard,1847.6,2023-12-11,191
491,7470,1590,MasterCard,18332.96,2023-08-23,253
492,14602,5083,Visa,4705.41,2020-07-15,981
493,10121,20520,Amex,12228.28,2022-09-03,928
494,19435,6763,Visa,4177.3,2023-08-07,1185
495,6566,22213,Discover,18068.01,2020-12-28,1280
496,8519,9761,Visa,2770.21,2024-04-16,1347
497,18864,36133,Discover,8821.07,2023-06-13,128
498,7571,11474,MasterCard,11245.25,2022-12-04,18
499,18921,7521,Discover,19968.77,2021-08-01,1817
500,16446,29424,MasterCard,9892.65,2021-01-01,1759
501,3834,27144,MasterCard,13807.57,2021-02-19,566
502,13595,9905,Discover,14333.4,2022-01-31,570
503,14639,24395,MasterCard,2322.71,2022-08-25,1347
504,6157,28773,Amex,6840.52,2023-01-17,1896
505,15348,20834,Amex,15362.81,2021-10-28,686
506,12567,30005,Discover,5336.74,2024-01-08,1816
507,3933,36689,Visa,2456.3,2020-07-26,626
508,9797,22592,Amex,15006.91,2021-12-13,1312
509,9326,11496,MasterCard,2657.12,2022-01-25,1967
510,4131,1993,MasterCard,8140.46,2021-10-15,854
511,4487,32213,Visa,5178.7,2021-10-05,1687
512,15980,7383,Visa,14232.86,2024-05-25,962
513,5534,33805,Amex,1730.3,2022-09-20,1663
514,2485,18185,MasterCard,10134.61,2023-11-14,155
515,6778,32306,Amex,16255.55,2023-11-02,490
516,12868,1758,Visa,4165.15,2020-10-20,1410
517,16095,25246,Amex,5452.57,2023-04-29,785
